Date,IL confirmed,IN confirmed,IL deaths,IN deaths
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,1,0,0,0
2020-01-25,1,0,0,0
2020-01-26,1,0,0,0
2020-01-27,1,0,0,0
2020-01-28,1,0,0,0
2020-01-29,1,0,0,0
2020-01-30,1,0,0,0
2020-01-31,2,0,0,0
2020-02-01,2,0,0,0
2020-02-02,2,0,0,0
2020-02-03,2,0,0,0
2020-02-04,2,0,0,0
2020-02-05,2,0,0,0
2020-02-06,2,0,0,0
2020-02-07,2,0,0,0
2020-02-08,2,0,0,0
2020-02-09,2,0,0,0
2020-02-10,2,0,0,0
2020-02-11,2,0,0,0
2020-02-12,2,0,0,0
2020-02-13,2,0,0,0
2020-02-14,2,0,0,0
2020-02-15,2,0,0,0
2020-02-16,2,0,0,0
2020-02-17,2,0,0,0
2020-02-18,2,0,0,0
2020-02-19,2,0,0,0
2020-02-20,2,0,0,0
2020-02-21,2,0,0,0
2020-02-22,2,0,0,0
2020-02-23,2,0,0,0
2020-02-24,2,0,0,0
2020-02-25,2,0,0,0
2020-02-26,2,0,0,0
2020-02-27,2,0,0,0
2020-02-28,2,0,0,0
2020-02-29,2,0,0,0
2020-03-01,3,0,0,0
2020-03-02,4,0,0,0
2020-03-03,4,0,0,0
2020-03-04,4,0,0,0
2020-03-05,5,0,0,0
2020-03-06,5,1,0,0
2020-03-07,6,1,0,0
2020-03-08,7,2,0,0
2020-03-09,13,6,0,0
2020-03-10,19,10,0,0
2020-03-11,24,10,0,0
2020-03-12,32,12,0,0
2020-03-13,46,12,0,0
2020-03-14,63,19,0,0
2020-03-15,92,19,0,0
2020-03-16,104,30,0,2
2020-03-17,159,30,1,2
2020-03-18,287,35,1,4
2020-03-19,421,55,4,5
2020-03-20,584,123,5,5
2020-03-21,752,123,6,9
2020-03-22,1049,200,8,14
2020-03-23,1285,258,11,19
2020-03-24,1536,360,16,24
2020-03-25,1864,478,18,29
2020-03-26,2540,960,26,35
2020-03-27,3027,960,29,44
2020-03-28,3491,1232,47,47
2020-03-29,4596,1513,65,57
2020-03-30,5057,1783,72,75
2020-03-31,5993,2159,99,90
2020-04-01,6972,2564,139,111
2020-04-02,7678,3038,157,133
2020-04-03,8871,3436,209,154
2020-04-04,10357,3948,244,185
2020-04-05,11253,4409,274,210
2020-04-06,12258,4942,307,244
2020-04-07,13547,5501,380,269
2020-04-08,15084,5939,462,304
2020-04-09,16420,6345,528,332
2020-04-10,17883,6905,596,367
2020-04-11,19177,7429,677,392
2020-04-12,20850,7917,720,412
2020-04-13,22021,8222,720,440
2020-04-14,23243,8512,868,473
2020-04-15,24592,8941,948,515
2020-04-16,25729,9527,1072,552
2020-04-17,27573,10149,1132,582
2020-04-18,29134,10639,1259,616
2020-04-19,30345,11206,1290,641
2020-04-20,31503,11677,1349,673
2020-04-21,33053,12090,1468,708
2020-04-22,35107,12436,1565,750
2020-04-23,36932,12436,1686,789
2020-04-24,39650,13617,1794,817
2020-04-25,41773,14304,1875,843
2020-04-26,43895,15011,1933,879
2020-04-27,45878,15960,1983,910
2020-04-28,48097,16579,2125,943
2020-04-29,50349,17226,2214,963
2020-04-30,52908,17818,2354,1007
2020-05-01,56049,18629,2456,1062
2020-05-02,58500,19293,2554,1115
2020-05-03,61485,19930,2616,1132
2020-05-04,63830,20502,2660,1151
2020-05-05,65958,21028,2838,1213
2020-05-06,68228,21865,2974,1264
2020-05-07,70869,22499,3110,1295
2020-05-08,73756,23144,3239,1328
2020-05-09,76081,23730,3347,1362
2020-05-10,77733,24122,3405,1379
2020-05-11,79002,24620,3458,1411
2020-05-12,83016,25117,3601,1444
2020-05-13,84686,25470,3791,1481
2020-05-14,87929,26047,3927,1506
2020-05-15,90359,26650,4057,1550
2020-05-16,92447,27274,4127,1596
2020-05-17,94182,27765,4176,1607
2020-05-18,96473,28245,4233,1621
2020-05-19,98018,28702,4377,1675
2020-05-20,100410,29269,4524,1716
2020-05-21,102681,29930,4607,1764
2020-05-22,105441,30404,4715,1791
2020-05-23,107792,30893,4790,1812
2020-05-24,110295,31369,4855,1824
2020-05-25,112008,31706,4884,1830
2020-05-26,113185,32067,4923,1848
2020-05-27,114305,32424,5082,1869
2020-05-28,115832,33057,5185,1904
2020-05-29,117450,33551,5269,1943
2020-05-30,118912,33551,5330,1943
2020-05-31,120257,34569,5390,1966
2020-06-01,121232,34820,5412,1975
2020-06-02,122841,35234,5525,2020
2020-06-03,123820,35704,5621,2029
2020-06-04,124749,36089,5736,2050
2020-06-05,125903,36573,5795,2078
2020-06-06,126883,36992,5863,2110
2020-06-07,127744,37388,5904,2121
2020-06-08,128406,37611,5924,2135
2020-06-09,129204,38024,6018,2158
2020-06-10,129829,38332,6095,2172
2020-06-11,130597,38743,6185,2197
2020-06-12,131189,39146,6260,2214
2020-06-13,131861,39543,6289,2231
2020-06-14,132528,39909,6308,2240
2020-06-15,133002,40404,6326,2251
2020-06-16,133628,40760,6398,2265
2020-06-17,134181,40972,6485,2289
2020-06-18,134773,41428,6537,2304
2020-06-19,135464,41740,6580,2327
2020-06-20,136100,42059,6625,2346
2020-06-21,136758,42416,6647,2350
2020-06-22,137218,42626,6671,2363
2020-06-23,137819,42867,6706,2377
2020-06-24,138535,43136,6769,2385
2020-06-25,139432,43652,6809,2394
2020-06-26,140291,44119,6847,2403
2020-06-27,141077,44575,6873,2424
2020-06-28,141723,44930,6888,2427
2020-06-29,142461,45228,6902,2432
2020-06-30,143185,45594,6923,2448
2020-07-01,144013,45952,6951,2456
2020-07-02,144885,46387,6987,2469
2020-07-03,145750,46915,7005,2488
2020-07-04,146611,47432,7014,2494
2020-07-05,147251,48008,7020,2494
2020-07-06,147865,48527,7026,2505
2020-07-07,148452,48822,7063,2524
2020-07-08,149432,49259,7099,2539
2020-07-09,150450,49575,7119,2539
2020-07-10,151767,50300,7144,2544
2020-07-11,152962,51079,7168,2563
2020-07-12,153916,51612,7187,2567
2020-07-13,154799,52037,7193,2569
2020-07-14,155506,52685,7218,2582
2020-07-15,156693,53370,7226,2592
2020-07-16,157950,54080,7251,2602
2020-07-17,159334,54813,7272,2610
2020-07-18,160610,55654,7290,2627
2020-07-19,161575,56571,7295,2629
2020-07-20,162747,57206,7301,2632
2020-07-21,163689,57916,7324,2652
2020-07-22,165300,58673,7347,2666
2020-07-23,166921,59602,7367,2683
2020-07-24,168454,60598,7385,2687
2020-07-25,169880,61520,7397,2698
2020-07-26,171421,62372,7398,2706
2020-07-27,172652,62907,7416,2709
2020-07-28,173726,63678,7446,2725
2020-07-29,175121,64299,7462,2733
2020-07-30,176893,65253,7478,2746
2020-07-31,178834,67122,7495,2771
2020-08-01,180473,67122,7503,2771
2020-08-02,181943,61592,7517,2775
2020-08-03,183241,68433,7526,2780
2020-08-04,184712,69255,7545,2794
2020-08-05,186471,69975,7573,2805
2020-08-06,188424,71015,7594,2811
2020-08-07,190508,72254,7613,2821
2020-08-08,192698,73287,7631,2834
2020-08-09,194080,74328,7636,2835
2020-08-10,195399,74992,7637,2838
2020-08-11,196948,75862,7657,2863
2020-08-12,198593,76522,7672,2878
2020-08-13,200427,77565,7696,2898
2020-08-14,202691,78632,7721,2906
2020-08-15,204519,79676,7726,2921
2020-08-16,206080,80415,7744,2924
2020-08-17,207853,81006,7756,2926
2020-08-18,209593,81847,7782,2954
2020-08-19,211888,82336,7806,2968
2020-08-20,213720,83277,7833,2979
2020-08-21,215928,84317,7857,2992
2020-08-22,218284,85317,7874,3001
2020-08-23,220177,85932,7880,3003
2020-08-24,221789,87606,7888,3012
2020-08-25,223469,88419,7917,3035
2020-08-26,225626,91600,7954,3259
2020-08-27,227333,92763,7977,3266
2020-08-28,229482,93584,7997,3277
2020-08-29,231362,94709,8008,3285
2020-08-30,233354,95591,8019,3291
2020-08-31,235022,96474,8026,3296
2020-09-01,236514,97184,8064,3312
2020-09-02,238642,98049,8091,3325
2020-09-03,240002,99167,8115,3332
2020-09-04,245370,100207,8143,3350
2020-09-05,248174,101290,8166,3362
2020-09-06,249576,102133,8171,3364
2020-09-07,250956,102723,8179,3368
2020-09-08,252348,103112,8186,3380
2020-09-09,253685,103836,8214,3397
2020-09-10,255638,104624,8242,3410
2020-09-11,257783,105898,8273,3420
2020-09-12,259903,106972,8295,3437
2020-09-13,261364,108215,8309,3438
2020-09-14,262736,108950,8314,3439
2020-09-15,264200,109641,8332,3460
2020-09-16,266143,110221,8367,3472
2020-09-17,268199,111062,8392,3478
2020-09-18,270319,112099,8411,3495
2020-09-19,272843,113181,8436,3503
2020-09-20,274245,113927,8450,3506
2020-09-21,275722,114450,8457,3512
2020-09-22,277255,115063,8486,3520
2020-09-23,279105,115777,8508,3530
2020-09-24,281361,116680,8538,3548
2020-09-25,283843,117855,8563,3566
2020-09-26,286284,119018,8588,3577
2020-09-27,287884,119920,8601,3580
2020-09-28,289593,120792,8614,3591
2020-09-29,290959,121541,8637,3612
2020-09-30,293231,122509,8672,3632
2020-10-01,295393,123681,8695,3642
2020-10-02,297601,125183,8743,3656
2020-10-03,300043,126638,8774,3669
2020-10-04,301496,127725,8791,3674
2020-10-05,303349,128555,8805,3681
2020-10-06,304966,129575,8836,3711
2020-10-07,307596,130863,8878,3727
2020-10-08,310690,132324,8910,3742
2020-10-09,313508,134158,8945,3761
2020-10-10,316413,136083,8975,3782
2020-10-11,319140,137653,8984,3789
2020-10-12,321880,139227,8997,3795
2020-10-13,324733,140799,9026,3822
2020-10-14,327599,141964,9074,3836
2020-10-15,331613,143911,9127,3864
2020-10-16,336170,146209,9165,3887
2020-10-17,339799,148694,9192,3918
2020-10-18,344044,150299,9214,3937
2020-10-19,347157,151882,9236,3960
2020-10-20,350870,153382,9277,4008
2020-10-21,355212,155116,9345,4023
2020-10-22,360153,157972,9387,4065
2020-10-23,364027,160439,9418,4092
2020-10-24,370188,163180,9481,4118
2020-10-25,374245,165332,9505,4130
2020-10-26,378972,167297,9521,4143
2020-10-27,382971,169289,9567,4194
2020-10-28,389082,171859,9617,4226
2020-10-29,395445,175482,9674,4260
2020-10-30,402389,178664,9709,4285
2020-10-31,402389,182131,9709,4331
2020-11-01,417265,184883,9779,4363
2020-11-02,423485,187960,9810,4389
2020-11-03,430006,190850,9877,4438
2020-11-04,437544,194556,9933,4462
2020-11-05,447479,198979,10030,4507
2020-11-06,465528,203622,10078,4545
2020-11-07,477966,208538,10153,4591
2020-11-08,487974,213190,10195,4629
2020-11-09,498547,217322,10209,4664
2020-11-10,511169,222186,10289,4731
2020-11-11,523823,227228,10434,4762
2020-11-12,536526,233831,10476,4812
2020-11-13,551940,239432,10503,4863
2020-11-14,562965,247759,10668,4887
2020-11-15,573590,254463,10740,4909
2020-11-16,585233,259609,10777,4935
2020-11-17,597818,265099,10874,5024
2020-11-18,606740,271135,11014,5084
2020-11-19,621367,278430,11178,5143
2020-11-20,634378,285246,11304,5206
2020-11-21,646269,292124,11430,5246
2020-11-22,656281,298307,11506,5305
2020-11-23,664603,303860,11552,5332
2020-11-24,674072,309503,11677,5435
2020-11-25,685450,315496,11831,5498
2020-11-26,697471,321879,11963,5561
2020-11-27,705045,327518,12029,5594
2020-11-28,712918,332009,12137,5663
2020-11-29,720096,336311,12193,5685
2020-11-30,726285,341970,12278,5722
2020-12-01,738826,347381,12403,5864
2020-12-02,748584,354006,12639,5972
2020-12-03,759543,362466,12830,6033
2020-12-04,770069,370375,12973,6122
2020-12-05,779942,378072,13178,6207
2020-12-06,787554,384673,13254,6242
2020-12-07,796245,390329,13342,6284
2020-12-08,804154,395730,13485,6409
2020-12-09,812411,401500,13665,6506
2020-12-10,823512,408036,13861,6603
2020-12-11,832932,415241,14050,6672
2020-12-12,841669,422648,14176,6757
2020-12-13,848884,428554,14290,6805
2020-12-14,856098,433520,14394,6840
2020-12-15,863454,437792,14509,6967
2020-12-16,870576,444011,14655,7101
2020-12-17,879403,450353,14835,7180
2020-12-18,886780,456307,15015,7265
2020-12-19,894341,461045,15120,7338
2020-12-20,900345,467537,15201,7404
2020-12-21,905044,471403,15299,7438
2020-12-22,911282,475076,15411,7581
2020-12-23,918044,479755,15544,7645
2020-12-24,925085,485959,15643,7730
2020-12-25,930798,491402,15797,7770
2020-12-26,934117,495238,15865,7801
2020-12-27,937884,497069,15969,7843
2020-12-28,942334,499519,16074,7886
2020-12-29,947978,503519,16179,8051
2020-12-30,955352,508256,16356,8160
2020-12-31,963361,514732,16486,8262
2021-01-01,963361,521027,16485,8371
2021-01-02,975322,526342,16667,8410
2021-01-03,979791,529331,16751,8475
2021-01-04,984852,532948,16832,8514
2021-01-05,991690,536360,16959,8663
2021-01-06,999260,542509,17096,8743
2021-01-07,1008016,549788,17272,8823
2021-01-08,1017292,555886,17395,8892
2021-01-09,1024007,561850,17494,8966
2021-01-10,1028718,566941,17574,8985
2021-01-11,1033494,570626,17627,9016
2021-01-12,1040135,573776,17741,9103
2021-01-13,1045997,577424,17838,9162
2021-01-14,1052648,581805,17928,9202
2021-01-15,1059287,586477,18048,9246
2021-01-16,1064629,590364,18178,9287
2021-01-17,1068791,593532,18207,9310
2021-01-18,1072177,596030,18258,9340
2021-01-19,1076389,598765,18291,9466
2021-01-20,1081318,601651,18398,9529
2021-01-21,1086297,605275,18519,9593
2021-01-22,1093337,608769,18613,9642
2021-01-23,1098486,611871,18709,9692
2021-01-24,1101773,614391,18749,9715
2021-01-25,1104725,616580,18797,9727
2021-01-26,1108387,618307,18882,9804
2021-01-27,1112143,620545,18964,9844
2021-01-28,1116334,623364,19067,9878
2021-01-29,1120489,626000,19138,9925
2021-01-30,1123839,628339,19203,9967
2021-01-31,1126267,630063,19243,9974
2021-02-01,1128579,631772,19259,9989
2021-02-02,1130883,633313,19306,10054
2021-02-03,1134198,634740,19375,10091
2021-02-04,1137526,637100,19444,11637
2021-02-05,1141186,638584,19526,11686
2021-02-06,1144248,641403,19585,11752
2021-02-07,1146310,643135,19633,11817
2021-02-08,1148060,644168,19668,11875
2021-02-09,1150136,645308,19686,11942
2021-02-10,1152958,646746,19739,12001
2021-02-11,1155802,648454,19842,12027
2021-02-12,1155802,649880,19842,12117
2021-02-13,1160486,651111,19929,12149
2021-02-14,1162120,652329,19964,12173
2021-02-15,1163545,653106,20005,12191
2021-02-16,1164892,654009,20037,12232
2021-02-17,1166687,654921,20061,12251
2021-02-18,1168659,655677,20132,12283
2021-02-19,1170877,656715,20195,12327
2021-02-20,1172832,658118,20237,12338
2021-02-21,1174416,659015,20272,12377
2021-02-22,1175665,659827,20306,12411
2021-02-23,1177326,660502,20333,12454
2021-02-24,1179345,661512,20377,12471
2021-02-25,1181227,662602,20409,12498
2021-02-26,1183670,663553,20463,12535
2021-02-27,1185448,664430,20497,12560
2021-02-28,1186699,665151,20519,12577
2021-03-01,1187842,665693,20539,12599
2021-03-02,1189423,666234,20586,12626
2021-03-03,1191525,667002,20629,12636
2021-03-04,1193269,667941,20671,12665
2021-03-05,1194709,668796,20705,12699
2021-03-06,1197272,670027,20755,12728
2021-03-07,1198342,670771,20768,12739
2021-03-08,1199528,671246,20773,12746
2021-03-09,1201039,671842,20785,12767
2021-03-10,1202715,672714,20815,12779
2021-03-11,1204416,673624,20868,12804
2021-03-12,1206178,674565,20905,12825
2021-03-13,1207856,675405,20929,12847
2021-03-14,1209342,676095,20948,12857
2021-03-15,1210128,676508,20959,12865
2021-03-16,1212121,677073,20978,12877
2021-03-17,1213771,677981,20993,12894
2021-03-18,1216094,678943,21026,12908
2021-03-19,1218473,679802,21039,12923
2021-03-20,1220438,680693,21062,12929
2021-03-21,1221868,681460,21084,12949
2021-03-22,1223089,681972,21106,12949
2021-03-23,1224919,682634,21119,12963
2021-03-24,1224919,683604,21119,12978
2021-03-25,1229901,684552,21174,12985
2021-03-26,1232904,685664,21207,13005
2021-03-27,1235581,686643,21233,13014
2021-03-28,1237831,687588,21255,13025
2021-03-29,1239595,688303,21260,13030
2021-03-30,1242008,689025,21279,13041
2021-03-31,1244594,690069,21306,13043
2021-04-01,1248114,691291,21354,13051
2021-04-02,1251350,692492,21367,13073
2021-04-03,1254188,693544,21380,13078
